date_data,title
Today 03:30AM,"Its lending on steroids: How Buy Now, Pay Later companies are meeting demand"
Dec-08-23 05:36PM,"BofA downgrades PayPal, Toast stocks to 'Neutral'"
04:40PM,This Stock Has Surged 53% Since Black Friday. Here's Why I'm Not Buying It Quite Yet.
Dec-07-23 11:03AM,Analyzing Affirm (AFRM) Stock: Is Buy Strategy the Right Move?
Dec-04-23 09:07AM,Are Options Traders Betting on a Big Move in Affirm Holdings (AFRM) Stock?
Nov-30-23 12:36PM,"Buy now, pay later: How Affirm examines financial health"
Nov-28-23 06:00PM,3 Stocks Set to Be the Next SoFi
12:34PM,"Stocks to Watch Tuesday: Carlyle, PDD, Zscaler, Micron, BlackRock"
11:30AM,Cyber Week sales: Retail's biggest winners and warnings
10:35AM,Cyber Monday rings in $12.4 billion in sales as consumers hunt for bargains
10:24AM,"Will Buy Now, Pay Later Keep Boosting Affirm's Stock?"
10:11AM,"Affirm Stock Will Benefit From Buy Now Pay Later This Holiday Season, Analyst Says"
10:07AM,Affirm (AFRM) Rises 12% on BNPL Report: What You Should Know
08:56AM,"Affirm Will Benefit From Buy Now Pay Later This Holiday Season, Analyst Says"
07:33AM,"Midday movers: Boeing, Micron, Tesla and more"
03:00AM,"Affirm shares edge higher premarket after Jefferies upgrades rating to ""hold"""
01:23AM,"Boeing raised to Outperform, MercadoLibre upgraded at BofA: 4 big analyst picks"
Nov-27-23 04:45PM,"Affirm Stock (NASDAQ:AFRM): If You Buy Now, You May Pay Later"
04:23PM,US STOCKS-Wall St ends lower amid Cyber Monday madness
04:05PM,"Affirm to Webcast CFO Fireside Chat on December 11, 2023"
03:20PM,"More Black Friday Shoppers Used Buy Now, Pay Later Even As They Shunned Big-Ticket Gifts"
03:11PM,Why Affirm Holdings Stock Popped Today
02:16PM,"Affirm Stock Jumps After Report of Strong Buy Now, Pay Later Use on Black Friday"
01:43PM,"Affirm, Shopify Stocks Rally. All Eyes Are on Cyber Monday."
01:40PM,"Is AFRM Stock A Buy Now? What Affirm's Fundamentals, IBD Ratings, Stock Chart Say"
Nov-21-23 09:40AM,Is Affirm (AFRM) Stock Outpacing Its Business Services Peers This Year?
Nov-20-23 01:35PM,7 Turkey Stocks to Pluck from Your Portfolio BEFORE Thanksgiving
Nov-18-23 07:05AM,Is It Too Late to Buy Affirm Holdings Stock?
Nov-16-23 06:55AM,"After Crushing Expectations Once Again, This Payments Stock Is Up 170% This Year. Can It Keep Winning?"
Nov-14-23 02:07PM,"Fintech Lender Affirm Is Poised to Expand in a Higher Rate Environment, CFO Says"
Nov-13-23 10:10PM,11 Hot Tech Stocks to Buy Now
Nov-10-23 07:00AM,"Stock Market Rally Pauses As Yields Rebound; Datadog, Affirm Among Earnings Winners: Weekly Review"
Nov-09-23 04:57PM,"Affirm Holdings, Inc. (NASDAQ:AFRM) Q1 2024 Earnings Call Transcript"
04:21PM,"Affirm Shares Soar as Merchandise Volumes Jump for Buy Now, Pay Later Lender"
04:14PM,"These Stocks Moved the Most Today: Disney, AMC, Affirm, Arm, Tesla, Virgin Galactic, Topgolf, TransDigm, and More"
01:53PM,Affirm is taking share in a growing market: CFO
01:45PM,Affirm shares surge after quarterly results beat estimates
01:23PM,"These Stocks Are Moving the Most Today: Disney, AMC, Affirm, Arm, Tesla, Virgin Galactic, Topgolf, TransDigm, and More"
11:14AM,"Buy Now, Pay Later Lender Is Surfing the Private Credit Wave"
11:14AM,"Buy Now, Pay Later Is Surfing the Private Credit Wave"
10:25AM,These 2 Stocks Are on the Comeback Trail
09:20AM,Q1 2024 Affirm Holdings Inc Earnings Call
08:47AM,"Midday movers: Walt Disney, Lyft, Tesla and more"
08:35AM,Affirm Stock Pops 14% After Earnings Topped Expectations
Nov-08-23 09:30PM,Affirm (AFRM) Q1 2024 Earnings Call Transcript
07:30PM,"Compared to Estimates, Affirm Holdings (AFRM) Q1 Earnings: A Look at Key Metrics"
05:33PM,Affirm Stock Pops After Earnings Topped Expectations
05:29PM,Affirm Holdings: Fiscal Q1 Earnings Snapshot
04:24PM,Affirms Earnings Top Expectations. The Stock is Popping.
04:05PM,Affirm Reports First Fiscal Quarter 2024 Results
01:01PM,Affirms Earnings Arent Just About Meeting Expections. Heres What Wall Street Wants to See.
09:56AM,Here's How We'd Play Affirm Ahead of Earnings
08:17AM,Are the Bears Right About Affirm Stock?
Nov-06-23 10:23AM,Insights Into Affirm Holdings (AFRM) Q1: Wall Street Projections for Key Metrics
Nov-03-23 05:30PM,"Berkshire Hathaway, Disney, Fed: What to watch next week"
Nov-02-23 04:18PM,Affirm Shares Soar 19% On BNPL Offering For Amazon Business
10:54AM,Affirm shares jump on expanded partnership with Amazon
10:46AM,"Shopify, Affirm, Crocs: Morning Movers"
09:00AM,"Amazon Business Adds Affirm as First Buy Now, Pay Later Provider at Checkout"
Nov-01-23 03:00PM,Fintech Stocks Mixed After Fed's Interest-Rate Announcement
10:43AM,7 Dangerous Stocks to Avoid No Matter What
09:00AM,Interest-Free Promotions Outshine Discounts and Sales This Holiday Season
Oct-30-23 06:15PM,Here's Why Affirm Holdings (AFRM) Gained But Lagged the Market Today
04:05PM,Affirm to Participate in Upcoming Investor Conferences
Oct-28-23 05:15AM,Is Affirm Holdings Stock a Buy?
Oct-26-23 11:14AM,"PayPal, Square Stocks Face a Moment of Reckoning After Worldline Panic"
08:15AM,"Shares of Affirm, Block, and PayPal Drop as Worldline Warns About Consumer Spending"
Oct-25-23 02:20PM,The European Fintech Collapse Spreads to the U.S.
09:40AM,Is Affirm (AFRM) Outperforming Other Business Services Stocks This Year?
02:24AM,Alphabet hammered: 6 big analyst cuts
Oct-24-23 04:05PM,"Affirm to Host Investor Forum on November 14, 2023"
Oct-18-23 04:05PM,"Affirm to Announce First Quarter Fiscal Year 2024 Results on November 8, 2023"
Oct-09-23 09:40AM,Are Business Services Stocks Lagging  Affirm (AFRM) This Year?
Oct-03-23 05:06AM,3 Top Fintech Stocks to Buy in October
Sep-29-23 02:30AM,CEO Max Levchin: How Affirm Is Responding to Higher Interest Rates
Sep-27-23 11:57AM,Ticking Time Bombs: 3 Fintech Stocks to Dump Before the Damage Is Done
11:07AM,Affirm (AFRM) & Weave Team Up to Expand Payment Options
Sep-26-23 05:40PM,Affirm retooled its business to operate under interest rates: CFO
09:00AM,Weave Partners with Affirm to Expand Payment Options for Patients
Sep-22-23 06:49PM,Higher for Longer Interest Rates Threaten Fintech
Sep-18-23 04:05PM,"Affirm to Webcast CFO Fireside Chat on September 28, 2023"
Sep-11-23 11:28AM,Affirm (AFRM) & Booking.com Team Up to Boost Payments Options
Sep-08-23 01:37PM,Affirm (AFRM) & ATERNAL to Offer BNPL Solutions to Art Buyers
Sep-07-23 05:54PM,"Travel now, pay later: Affirm rolls out new offerings for users"
09:00AM,Affirm Partners With Booking.com to Offer Travelers Increased Flexible Payment Options
Sep-06-23 05:58AM,This Fintech's Solid Quarter and Rosy Outlook Surprised Analysts. Is It a Buy?
05:11AM,3 Growth Stocks to Sell in September Before They Crash & Burn
Sep-05-23 05:35PM,"Klarna CEO talks state of consumer in buy now, pay later landscape"
11:30AM,3 Stocks to Avoid This Week
Sep-01-23 10:50AM,Student Loan Payments Are Back. Your Biggest Questions Answered.
Aug-31-23 06:13PM,Fall Clean-Up: 7 Stocks to Let Go Before Autumn Begins
Aug-28-23 09:38AM,"Company News for Aug 28, 2023"
07:30AM,3 Stocks to Avoid This Week
Aug-27-23 07:10AM,2 Big Red Flags for Affirm Stock
Aug-26-23 09:25AM,Is Affirm Holdings Stock a Buy Now?
Aug-25-23 04:28PM,"These Stocks Moved the Most Today: Affirm, Marvell, Domo, Hawaiian Electric, AMC, Nordstrom, and More"
03:20PM,"Affirm Soars After 'Buy Now, Pay Later' Provider's  Interest Rate Turnabout"
03:19PM,Affirm Shares Soar on Higher-Than-Expected Forecast as Delinquencies Decline
01:51PM,"These Stocks Are Moving the Most Today: Affirm, Marvell, Domo, Hawaiian Electric, AMC, Nordstrom, and More"
01:08PM,Affirm Surges After New Merchant Deals Fuel Transactions
